"案件番号","大分類","小分類","案件名（事業年度・名称）","実施期間及び問い合わせ先","入札日時"
"010400-H2809110950-11","情報処理","システム開発・改良・運用・保守","平成２８年度〜平成３２年度新地方公会計システム構築業務","財　政　課","H28/10/20 13:30"
"063000-H2809091021-11","建築物の保守管理","電気設備等保守","平成28年度　有1第2号・有3第4号電気設備精密点検業務","公営企業課","H28/10/11 10:00"
"071001-H2809201747-11","役務以外の資格","建設業","平成２８年度生物棟他の外壁塗装修繕","和歌山県水産試験場","H28/10/26 13:30"
"080400-H2809051104-11","役務以外の資格","その他","和歌山県気象情報システム（仮称）改良業務","河　川　課","H28/11/02 11:00"
"080800-H2809231918-11","建築物の保守管理","建築物飲料水貯水槽清掃","平成２８年度　県営住宅貯水槽清掃等その１業務委託","建築住宅課","H28/10/20 09:30"
"080800-H2809231926-11","建築物の保守管理","建築物飲料水貯水槽清掃","平成２８年度　県営住宅貯水槽清掃等その２業務委託","建築住宅課","H28/10/20 10:00"
"080800-H2809231930-11","建築物の保守管理","建築物飲料水貯水槽清掃","平成２８年度　県営住宅貯水槽清掃等その３業務委託","建築住宅課","H28/10/20 10:30"
"080800-H2809231931-11","建築物の保守管理","建築物飲料水貯水槽清掃","平成２８年度　県営住宅貯水槽清掃等その４業務委託","建築住宅課","H28/10/20 11:00"
"080800-H2809231935-11","建築物の保守管理","建築物飲料水貯水槽清掃","平成２８年度　県営住宅貯水槽清掃等その５業務委託","建築住宅課","H28/10/20 11:30"
"130261-H2809121351-11","廃棄物処理","産業廃棄物処理（収集・運搬）","平成２８年度　道維修第２号ー２２　平成２８年度那賀振興局管内混合土砂等処理業務委託","那賀振興局建設部総務調整課","H28/10/06 13:30"
"130661-H2809270808-11","森林整備等","森林整備","平成２８年度　漁奥地　第１号ー２　漁場保全関連特定森林整備（奥地保安林保全緊急対策）事業","西牟婁振興局建設部総務調整課","H28/10/17 10:00"
"130761-H2809121932-11","役務以外の資格","建設業","平成２８年度東牟婁振興局健康福祉部串本支所火災報知設備受信機等取替修繕業務","東牟婁振興局串本建設部総務管理課","H28/10/07 14:00"
"130771-H2809090914-11","森林整備等","森林調査（�）","平成２８年度　漁保改　第１号ー３　漁場保全関連特定森林整備（保安林改良）事業測量業務委託","東牟婁振興局新宮建設部総務調整課","H28/10/04 13:30"
"500100-H2809161030-11","建築物の保守管理","建築物等の点検","平成28年度　委　第15号　海南高校外建築基準法第12条に基づく定期点検委託業務","教育庁総務課","H28/10/14 15:00"
"500601-H2809021221-11","情報処理","データ処理","平成28年度　南葵音楽文庫資料整備業務委託","和歌山県立図書館","H28/10/06 11:00"
"500601-H2809181052-11","美術品・文化財保存","文化財虫菌害防除","平成２８年度　南葵音楽文庫資料燻蒸等委託業務","和歌山県立図書館","H28/10/18 11:00"
